,title,cluster
4,"i have noticed asymmetry in my nose from the front as well as the side. I also have a slight bump on my nose which is more noticeable on one side then the other. I also constantly feel like one side of my nose is more blocked then the other, do i have a deviated septum?",5
5,My 16 month old headbutted me last week. I just had a septoplasty in July of this year because my 2 year old headbutted me and I couldn't breathe well on the right side. Now I cannot breathe well on the right side again. Can you tell if this is a deviated septum. There is a reddish pink area that I think I see blocking the opening.,5
21,I have a flat nose with a button tips that I do love but my nostrils are uneven. The left side is higher and more narrow but the right side is wider and lower? I love my nose and don't want to change the shape of it. But my uneven nostril make my life a living hell. I even have post nasal drip and dry mouth I don't know if it linked to my nostril shape. Anyways what treatment can help me even out this problem. Septoplasty? Fillers? Help thank you,5
33,"Would I be a good candidate for a Septoplasty? My nose is crooked, mainly towards my right nostril. My breathing feels slightly restricted but it's hard to tell as it's been this way forever. It also bothers me that it's so sideways.",5
41,My ENT consultant said that I have a deviated septum and he said some cartilage would be taken from my ear to build up the left nostril but that would make my nose look wider and I dont want that. My left nostril appears higher up than my right one too. Would the nostril asymmetry improve just with a septoplasty?,5
43,Ive seen two different doctors. One an ENT and the other a plastic surgeon. I have a deviated septum and my nose is starting to tilt more on the right side. Can a septoplasty and fixing the deviated septum fix this or should I get a septoplasty and rhinoplasty. I dont really want to change the look of my nose I just want it to not tilt to one side as much. When I breathe in my right nostril caves in aswell which I believe is called a nasal valve collapse. I also have very bad tmj.,5
46,"I had a septorhinoplasty two years ago. Because of trauma to face, i redeviated my septum and also collapsed a nasal valve on the right side. My nose bridge no longer looks as defined as it did post surgery, and surgeons have told me that septoplasty is required. an ENT put a camera in my nostrils and showed me the wall shifting to one side extremely. also, inhaling makes my nose collapse on one side. He says goal is to make my right side of nose(collapsed) look like the left. is this possible?",5
59,"Pictures below roughly provide the positioning of my cartilage. How likely is this to be causing my impeded breathing and sinus pressure in cold weather? It's extremely uncomfortable/distracting physically, gets caught on the right side of the septal wall when moving my face and is irritating/drying the lining of my nostril. I also have maxillary lateral incisor agenesis on the left, same side of the septal deviation(coincidence?) and I'm planning an implant which requires bone grafting.",5
62,Im having a rhinoplasty &amp; have a deviated septum. Do I need a septoplasty if i breathe much better out of my left nostril &amp; barely through the right side 95% of the time but sometimes when i lay down it switches &amp; I can only breathe out of the right side but never both at the same time well. Will a septoplasty help me breathe through both sides at all times? I also have a crooked nose that I want fixed &amp; a dorsal hump. Will a septoplasty help straighten my nose more as well?,5
65,"I suffered from trauma to the nose area at age 14. Ever since then, I cannot breathe very well from my right nostril. At 42, Im finally trying to address the problem as it seems to be affecting my sleep even more now. I had a CT scan to diagnose if I had a deviated septum. Results came back normal. Can a CT scan come back normal but a deviated septum exists that causes the nostril to be partially blocked?",5
74,"I have severe nasal congestion and mucous diacharge thorough out winters to the point that it disturbs my sleep. I have almost no sneezing. My doctor said I also have DNS and inferior meatal hypertrophy and should have a septoplasty done so will it help? Also I have a bump on the left side of my nose where the septum is deviated and I feel the bump has increased in,size over time(others have observed too) will septoplasty correct it too? I'm 23",5
80,"Last year I had a septoplasty to improve my breathing and help with snoring, my nose wasnt that crooked before but it did lean to one side, after my surgery I did notice that it was still leaning over to one side and the doctor had claimed I had a perforation in my septum now as well, I waited a full year to see if it would straighten out and it never did my breathing only slightly improved but I still can only mainly breathe through my left nostril",5
89,So will this surgery make my nose more symmetrical as well as help my breathing ? Will a septoplasty make my nostril thats smaller and higher up more even to the other? I cannot breathe out of the nostril thats smaller and higher up,5
94,"I can barely get any air through my obstructed nostril. Right now, it takes me about 8s and 36s to inhale and exhale through my unobstructed and obstructed side respectively. I would like to know if this is normal or if I should get my deviated septum fixed. Some sources say it's normal to always breathe through one nostril at a time, others say one side should 'inhale more air than the other', while again others say it's 'noticeable while having a cold'. So which one is it?",5
97,I had a bad result with a rhinoplasty 26 years ago and it left my septum visible in my right nostril and my left nostril bigger thanks right.&nbsp;Will a septoplasty straighten my nose?Will a septoplasty sort this out?,5
109,"If so, what treatment would I need to correct this? And, could this be the reason why I don't like the way my nose looks currently? I feel it may look wider on one side than the other? Does this affect the outer appearance of one's nose?",5
127,"I had a severe deviated septum as a child and as a result needed two septoplasties, one at 17 and another at 19. My septum curved back a bit after the first surgery and I stopped being able to breathe out of both sides of my nose, necessitating the revision. Since the revision surgery 8 years ago Ive been able to breathe functionally. The bottom of my septum is still curved but at this point its a cosmetic issue rather than functional. Can that curve be straightened or is it too risky?",5
133,"My nose is crooked, I can't breathe out of my right nostril and my nose curves to the right. And I always have a sore throat if that had anything to with the problem.",5
145,"I refuse to accept the answers this is just due to being swollen. My breathing was perfect the first couple weeks after surgery then just declined. Saw another surgeon for 2nd opinion said 80% blocked left nostril and 50% right. My nose seems wider due to spread grafts, still curved and worse breathing than before surgery. I feel this is not my fault but now burden of a revision what are my options?",5
146,"I have a significantly deviated septum which is taking a toll on my self esteem. Both sides of my face are vastly different in appearance. I'm actually very happy with the appearance of the left-side of my face and shape of my nose etc, and would like mostly to have both sides look more like the left. Is this possible thru surgery? Will I be able to keep my original nose shape but correct the asymmetry and have both sides look more like it is on left?",5
148,I received Septoplasty 2 years ago to straighten my deviated septum. I still cant breathe right and I feel like my right side of my nose is collapsed and my nostril looks uneven. Please help me look into this. Thanks,5
