,title,cluster
1,"I had a septoplasty 3 years ago, it was done using my own cartilage from the nose and it was placed on the tip of the nose. And I have been seeing redness every now and then, but it doesnt cause any pain nor breathing problem, it just gets red and it comes and go. Will it be related to the surgery? I have seen a surgeon here but I was told the nose was fine and was given antibiotics. It improved but it comes and go.",3
17,I deviated my septum when I was 10. It was never fixed. I'm now 45 and have noticed changes in the shape of my nose over time. Its wider and there is a blood vessel or something visible through the skin following the crooked septum.,3
19,"I understand that during septoplasty, the bent or deviated part of the cartilage is removed, and a straight piece is put back into the lining. My question is, how does that piece of cartilage the was put back remain stable? will it fuse with existing cartilage over time? Will i be able bend my squish my nose and it feels perfectly normal? Is my nose weaker now due to a piece of cartilage being permanently removed?",3
22,"Hi, I had my septoplacty done 6 months ago. I can breath very well but my nose is still extremely swollen (Or maybe not). My nose used to be very thin before it got crooked. But now my nose is bigger than ever! I get comments on it 24/7. The doctors say its swelling. But swelling? For 6 months? And most of the swelling should have been gone til now, even if there still is swelling its probably not much. Im very frustrated and need answers",3
27,Its been almost a year since my surgery and I have noticed that my nose does not look the same as it did before. The tip of my nose has changed and the cartilage right above it seems to have dipped in. I am very unhappy since I was adamant about not changing my nose and the physician insisted that the surgery would not change the outward appearance of my nose.,3
102,"About a year ago, I had an accident at the gym. A weighted medicine ball hit the left side of my nose, causing a deviated septum and slight crookedness. I've attached before and after pics. My question: Can septoplasty alone restore my nose to how it used to be, or is septorhinoplasty my only option? Just to be clear, I'm very happy with the shape of my nose before the injury, and I'm not looking for a nose job, but I'm curious in your expert opinion. Thanks.",3
120,"Hello, there are so many issues with my nose, a hump at the bridge, the nostrils and a droopy crooked tip. What are my options ?",3
156,"In the way that, the cartilage that was removed be put back where it was taken from? (From another source) Obviously Im not asking for more deviation. Just wondering what could be done to replace the structures lost with these procedures. Mine involved the strict removal of bone and cartilage and research has proven that this can cause a revision to become even more complicated. I am petrified at the amount that was just straight taken out of my nose without putting it back in readjusted.",3
169,I had a closed nasal fracture reduction and a septoplasty done 2 weeks ago. Had the nose cast on for 5 days and then it was removed in office. This evening some cat hair tickled my nose and when I went to brush it away I tapped my nose and felt my septum shift. It popped to the side and then I panicked and tapped the other side so it would pop back to the center. Now I'm afraid to touch it and I'm worried I messed it up? It looks OK in the mirror and doesn't hurt.,3
174,"Before my surgery I could smell. Straight after my surgery I could also smell a bit despite being congested from the operation. However a week after the operation, at the same time as starting on Flixonase to reduce the inflammation, my smell / taste went completely and has not returned. Is this normal?",3
180,I had a Septoplasty with open reduction nasal fracture and spreader grafts as well as turbinate modification due to a deviated septum accident happened last year. 10 days after surgery Ive noticed the bridge of my nose is much wider and larger in general. Even tho Septoplasty is done internally would this still be due to swelling? Will it eventually thin down or are those due to spreader grafts that were placed? 2 Pictures each before breaking/after break/ after surgery included,3
