,title,cluster
2,"March 10th of 2021 I had Septoplasty with Turbinate Reduction of my middle turbinate's (he removed 40-50% each) and small reduction of inferior (less than 10%). I have seen 2 doctors since the surgery both say I would not have removed that much of the middle turbinate but you do not have Empty Nose Syndrome. But I still feel way too much cold air that hits my throat on one side and other is still deviated. I am now dizzy alot and have no idea what do next, it ruined my life !",4
6,"First of all, I'm not really sure that a septoplasty is what I need, but RealSelf doesn't have a general or other category. I have been dealing with a mystery for about a year and a half now. I've seen 12 different doctors and none of them can figure out why my nose randomly swells up and gets red for anywhere between 5 mins and 2 hours everyday. At one point they thought I had carcinoid syndrome but a urine test ruled it out. I'm at my wit's end.",4
8,I have deviated septum which really bothers me as I cannot breathe properly; and droopy nose. I have a hump too but it does not bother me at all. I went to see a doctor and he said he has to correct the hump as well and it's not possible to do surgery without fixing all together. I honestly don't want to lose my hump as it's not a problem. I'm planning to see other doctors; but can someone advise me whether I can just have tip+cartilage surgery only?,4
12,"I have a deviated septum. I am worried my plastic surgeon will tell me he can't guarantee my nostrils will be symmetrical but that he'll make it better. I want to know what my expectations should be and if he says he can't make them symmetrical, if I should pursue the surgery with another doctor.",4
14,My left turbinate has been swollen shut since my septorhinoplasty 10 months ago. I reached out to my surgeon and he prescribed me a nasal steroid spray. It did nothing. Went back 2 more times he told me its allergies. Got a second opinion and got lucky and got a same day appointment cause someone canceled but unfortunately that morning (before I called) I used a decongestant spray so the doctor literally did not believe that it was swollen. (No I do not use the spray often hardly once a month),4
29,I was in an RTA when i was young. Around 2010 i underwent nose surgery to allow me to breath through my nose properly. Around 2013 i underwent further surgery on my nose re appearance. Image is what i have now. Is there anything i can do for more straighyer appearance/to fill that small area where the bend is highlighted?,4
31,"Hello, I had a deviated septum which caused breathing problems. I saw an ent in Toronto and he performed a septoplasty and also burned my adenoids which were an unusual size for my age (at the time 24). He failed to mention I had a perforated septum, and since then Ive been trying to find a doctor who will fix it. The hole has gotten bigger; its painful, and loud. Ive seen ents who essentially refuses to fix it because of the success rate but I need it fixed. I also have chronic sinisitus.",4
34,"I see that it is bad, but can it be fixed and how risky is it to have revision septoplasty cause i wouldnt want this to happened again.",4
35,"I have been to an ent who sent me to have a cat scan. I cant breathe well out of one nostril and I have pain on the sides of my nose. He confirmed that I have collapsed nasal valves but had me get a ct scan to see if there were other issues. By looking at these photos, can anyone please tell me if I have a deviated septum or something else going on?",4
40,"I know I have a septal deviation, what's bothering me is the deformity caused by the dislocated medial crus (colored in red), which is overextended and has a resting angle perpendicular to my septum rather than beside it. It's extremely physically uncomfortable, distracting and sometimes even painful. I've searched years for information on this deformity but have found nothing. Is it really that rare or is my physical discomfort simply not considered a medical issue? What can be done about it?",4
47,About one and a half years ago I had a rhino-septoplasty. Now my nostrils are still closing when I breathe. Is it likely to happen again after a 2nd septoplasty? The photos are of me breathing in and breathing out.,4
61,"At this size it seems like it can be done through a closed/endoscopic procedure with an ear cartilage donor graft and elevating the nasal mucosa off of the nasal floor and/or turbinates to cover it up. I realize the ear cartilage graft won't grow back. But if a provider is elevating some of the nasal mucosa off of the turbinates to use to close things does the body eventually heal that as well? As a layman, it kind of sounds like it's stripping tissue off the turbinate.",4
66,I have a perforation in my nasal septum that is 2cm and I also have a deviated septum. I found a doctor who is very experienced with closing perforations this size. He is an ENT and double board certified plastic surgeon. I wanted to ask if he could do a bullhorn lip lift at the same time to reduce the distance between my nose and lip and correct some asymmetry. What are the possible risks of having these two procedures done at the same time so I am informed?,4
67,If it better to do both at the same time or do the septoplasty first so the surgeon can focus on thing separately. Also in general is a reconstructive surgeon better equipped for these types of surgery compared to a plastic surgeon?,4
70,"I know I have a perforation&mdash;I want to know what it could be that there is something that slides back and forth within the perforation. I feel it when I am clearing my nose with a Q-tip because my nose is dry and unable to blow my nose. I have sjgren's syndrome, and it is difficult clearing my nose, and I know I must have caused damage. I also used steroid sprays because of chronic congestion and the need to clear my nose because I have to use a bi-pap machine for chronic obstructive apnea.",4
75,Im looking to fix my nose. Ive been having breathing problems and anxiety over it . I have not met anyone in an office yet . But Im going to try a ent doctor and try to fix the problem .,4
78,I been told I have to stop using my nasal spray for 3 weeks before I can have Turbinate reduction surgery.Dr gave me Prescription steroid nasal spray it didnt work the first night I was breathing through my mouth it made my mouth so dry my tongue felt like sandpaper I couldnt sleep it felt like was Suffocating there is no way I can go 3 weeks with out using my nasal spray,4
85,"Can you please explain: If turbinates are lined with tissue that expand and contract, the same as erectile tissue, how is it that cutting and surgery to this area which causes scarring would not cause pain when the turbinates try to resume their job of the nasal cycle of expanding/ contracting and or congestion when needing to?",4
87,"I had a consultation with a doctor saying he would only repair it on one side and no added grafts. What answer should a surgeon give me about this procedure, to make sure he has a good technique? Thank you!",4
92,"I have a septo-rhinoplasty scheduled in a few months. I went to the doctor recently, to assess if I truly needed a septoplasty, and I found out the following information: Because of her nasal valve dysfunction, septoplasty will not correct her breathing and I have also recommended nasal valve repair with a left spreader graft. This will reinforce and open the nasal valve. Will a septoplasty surgery address nasal valve collapse? Or is that a completely different procedure?",4
93,"Hello! Last weekend I broke my nose in an ATV accident. The ENT looked at my CT scan and told me I have a fracture of the interior nasal spine, fracture of the septum with impaction of the fracture fragments, and fracture of the nasal bones. Im having difficulty breathing through the right side and my nose has an obvious deformity but they said they want to do the surgery the end of August. What kind of surgery is normally done for this and what kind of operation should I prepare for?",4
95,"Hit in the nose when I was 14. I had surgery to straighten my nose shortly after the incident. When I was 29, I was hit in the nose again, causing deviated septum and hard to breathe out of one nostril. I had my first consultation today with an ENT doctor who has specializations in facial plastic and reconstructive surgery. The operations I will be having are as follows: nasal reconstruction with osteotomies, bilateral spreader grafts, septoplasty, and a submucosal resection of turbinates.",4
98,Ive been wanted to get my septum piercing for the longest time and am planning to get one. The only problem is I will be having septoplasty around nov/dec and Im not sure if I would be able to keep it in or take it out beforehand. So should I go ahead and get the piercing now or wait a few months after the surgery and once everything has healed.,4
