,title,cluster
0,"Can a septoplasty fix upper lip asymmetry? The septum is deviated, the tip is off to the side, and the nostrils are at different heights. Therefore, the upper lip is also asymmetric, and its crooked/tilted so that the lip line is diagonal. So, will a septoplasty fix this issue, or is more needed to permanently fix the issue at hand?",1
3,"I have a very weird congenitally crooked nose. Ive felt different. I want to get it fixed, as well as a decent breathing problem I have, but having a bulbous tip and a sizeable bump, I am wondering if my nose can be made smaller at the tip, bump lessened, and still improve breathing with the septoplasty. IIs this possible? There is a congenitally collapsed side of my nose where i could see a spreader graft being used, but mostly I think a reduction in size would suit my face best. Thank you!",1
11,Would septoplasty fix my deviation? And would open or closed technique be more suitable,1
13,"I have a deviated septum which makes my nose look quite crooked. It's genetic &amp; got worse throughout puberty. I was advised by an ENT to get a septoplasty (alongside turbinate reduction &amp; sinus surgery). I can never get any air into my left nostril, unless I do the Cottle Maneuver. Because of this, I'm concerned that straightening the septum isn't going to fix my breathing issues, and that a rhinoplasty would be needed to properly straighten my nose to accommodate for a straighter septum.",1
15,I'm bothered by the cartilage protruding to my left nostril giving a very asymmetrical appearance to my nostril. I have no significant breathing or sinus issues and although my nose (septum) is deviated I'm not bothered by it and I dont want to change its appearance. I just would like to harmonize the look of the nostrils. What are my options?,1
16,"Hello. I had a septorhinoplasty four years ago. Initially, my breathing improved and I liked how my nose looked. In the past two years, Ive noticed my septum has become extremely deviated again and as a result, my nose is no longer as straight as I would like. It seems as though Im the only one that notices these changes and after speaking to a surgeon about it, he confirmed that the septum was the reason the nose looked crooked. Could a septoplasty help to slightly straighten my nose again?",1
20,Wondering if septoplasty would improve breathing out of my right nostril or if my turbinates are too hypertrophic to make a difference? Or maybe no bad enough to make a difference at all?,1
23,"Ive been wanting to get my nose fixed for awhile now as it has caused me headaches along with an almost always stuffy nose, which makes it hard to sleep at night. I have state insurance and I was wondering how much of that would cover the cost of a septoplasty?",1
24,I am not sure if I have a deviated septum or just a crooked nose. I do have more trouble breathing out of one nostril more than the other. Either way would my nose be a good candidate for a septoplasty?,1
25,"Hi, I have a raised bump/nub at the base of my septum that I would like to get rid of. I've noticed that other people's septum goes down into their philtrum and looks a lot more seamless where's mine just stays there and looks like a bump. I have a long philtrum but I'm 18 so I'm trying to avoid getting a lip lift right now in fear of scarring and it messing up my lip shape and smile. I'm planning on getting a closed nose job in the future but idk if that will resolve my bump on my septum or not.",1
26,"Hello, I am an 18 year old female and would like to know if septoplasty is the right surgery for my nose? I have a deviated septum which has caused me to have a crooked nose and some breathing problems, but I do not know if a septoplasty will make my nose straighter and look better as well as improve my breathing.",1
28,"Hi, I am hoping you can give me some advice. I have a deviated septum and have been recommended to have a septoplasty with turbinates and tonsils removed at the same time. My question is this - can I have my turbinates and tonsils out in a second operation 2 months after my septoplasty? and for closed surgery, can the ent shave some of my nasal hump off, or would this be considered cosmetic surgery? Many thanks",1
36,"Hello. I visited a rhinoplasty surgeon years ago and he also told me that I have a deviated septum. It causes me a lot of issues, including not being able to breathe properly. I also suffer from nasal polyps. By looking at the picture of my nose, I would just like to know and get confirmation if this is the case? Thank you",1
37,"I've seen other CT scans of deviated septum's and I don't think mine looks right but my current dr says it's not deviated, and I don't need it fixed. I have breathing issues and am having other treatments done but if this needs to be fixed I like to do it at the same time. Should I get a second opinion or a different dr? (Ignore the red circle that's for something else, lol)",1
38,Is it normal for my nose to be so crooked? I did some research and some of the results that I pulled up stated that it could be a deviated septum and that in severe cases septoplasty could solve the problem. Is this a minor case? Could septoplasty fix it? Am I overreacting?,1
39,Ihave an operation booked for an open septoplasty and I asked the surgeon if open septoplastyhe is going to perform would also visually straighten my nose and he said it wouldn't change the appearance of my nose.Is it possible he is trying to get me to pay extra for a septo rhino even though the open septo operation would straighten it anyways ?Some surgeons say it straightens it some say it doesn't without rhinoplasty.My insurance covers the procedure but not the rhino portion.What's the truth?,1
44,"I have read a lot of differing opinions on septoplasty. But Im pretty sure my nose is only crooked due to my deviated septum? I have an appointment with an ENT specialist this month and I know he can only give me th3 answers Im looking for after determining all the factors! I will be getting the surgery even if theres no changes on the outside, but Im hoping It will also help my insecurity of my nose! What are the chances it will also straighten out my nose?",1
