,title,cluster
7,"I had my surgery over a year ago. 1 month post op I started getting some really bad headaches. The ent assured me it was not related to surgery. Fast forward to two weeks ago, They are so unbearable and last for days. My mri came back I have an obstructed nasal cavity. When I looked at the scans myself I also noticed there is some kind of label on my bone. If I get this corrected will these headaches go away? Is this bone label a foreign object?? Im freaking out.",0
50,"My nurse said theyll be removed in 12 days at my preop but i read online and it says you should take it out in 1-3 days to minimize risk of infection. Which is true? Also, if I keep it in do I use nasal saline spray with the packing in my nose? Kind of confused.",0
137,"Two days post op my doctor removed my splints, now i'm a week and a half post op, and there is cartilage dangling in my nose obstructing my nasal pathway. Did my doctor remove my splints too soon?",0
166,No pain at all until this morning now I see this bump inside my nose. Im so worried!!! Doctor is Thursday but hoping to get some peace of mind. What could this be?,0
191,"Hi, My Septoplasty and Turbinate reduction took place 10 days ago. Since then it feels like its been complication after complication. So far there's been: Perforated Septum during surgery (sutured at the time), Hematoma a week later, Headaches and sore throat from cold dry air. Partial collapse of right nostril yesterday. Should I be concerned that so much seems to be going wrong? Thanks in advance!",0
197,"Hi doctor, thank you for your time. I had septoplasty and outfracture of inferior turbinates 8 weeks, 2 days ago. I saw my consultant 2 days ago, where i was told its healing nice, septum is straight but may have blockage of sinuses. So currently using nasonex once a day. My question is, whilst changing my little boy tonight, he flapped his arms back an hit me straight in the nose, sounded like a clicking sound, didnt really hurt an was no bleeding....just paranoia. Would this have done damage",0
227,I had a septoplasty exactly one month before along with some treatment for allergy for turbinates. Now I would like to have alcohol with 2 days in party. Is it okay if I drink or I shouldn't drink. Still I feel pain Inside my nostrils and nothing can be seen as an opera injury. Pls advice,0
228,"How many options exist for septoplasty stents &amp; why aren't there better and more tolerable choices for patients? I wish I had done more research on this prior to my septoplasty. I just had the stents removed today -- my experience was horrific, and I did not tolerate them well. There were times I felt like I would have a panic attack from the extreme discomfort. I was miserable 24/7. My surgeon claims the stents are advanced state-of-the-art but as the patient, they were barbaric and painful.",0
235,It's been 7 days since I had my septoplasty surgery done. I went in today for my follow up appointment to get packing removed. My nose bled uncontrollably after packing was removed. I sat at the doctors office bleeding for about 40 minutes. The nurse that removed packing said in order to stop bleeding ahead needed to burn the blood vessel. What she did worked! I'm a little concerned because the pain I'm feeling now is worse than when I walked in. Is it normal to bleed a lot after packing is removed?,0
255,Hi im 7 days post op and in 4 days my doc is going to take off the stitches and the splints Today i realised a thick metal stitch coming out of the septum and hitting the nose skin. My question is should i wait 4 days until i go to dr office? And also can a big stitch like that cause septal perforation afterwards? Thank you,0
259,I had a septoplasty done 6 days ago and got the stitches out today. Ive had a horrible odor in my nose for the past 3 days and it seems to be getting worse. I thought when he took the stitches and packers out it would smell better but its way worse now. Is this bad? When will the smell go away?,0
281,"it feels as if something has been stuck there for months. Is it possible that a stitch is stuck? stitches were removed, however, some were missed and stayed in for about 2 weeks after they were first removed.",0
284,I went to my 2 wk post op and everything seemed good. The dr sucked a lot of mucus out and said everything looks like its healing good. Well I blew my nose tonight (I thought this was fine being almost 30 days po) & now I have a stitch hanging a half inch out of my left nostril. At&nbsp;first I thought it was a booger and pulled on it with tissue. I tugged gently and it is still connected somewhere deep in my nose. Should I cut it? I have no bleeding from tugging on it. What should I do?,0
301,"I had septoplasty surgery 3 days ago and now inside of my nose look horrible, do I&nbsp;need to rinse it?&nbsp;",0
306,"Two weeks ago I had septoplasty and one week later I had the stents removed. At the time my surgeon told me to not blow or touch my nose; no cleaning instruction were given. The congestion comes and goes and alternates between nostrils. The cold air makes my sinuses feel really cold. The person/numbness in my teeth and roof of mouth comes and goes as well. Is this normal? As well, I'm a smoker, I've cut back to 10-15 smokes a day, does this increase chances of infection? Is so what should I look out for?",0
316,I had a septoplasty with turbinate reduction 2 weeks ago. Tonight I've developed some pain inside my nose and the occasional itching and irritated feeling on both the inside of my nose and right around the outside of my nostrils. Should I be concerned? Is this worth a phone call to the dr or am I overreacting?,0
321,Had a septoplasy and turbinate reduction 6 days ago. Visit my ENT 2 days ago to have the splints removed and said everything looked good for 4 days. I am now have bad headaches that go from my temple to the middle of my forehead and random throbbing under my eye. Is this normal or should I contact the ENT again tomorrow?,0
329,"I had septoplasty 2 months ago, and there seems to be phlegm at the back of my throat (or the left nose of which I had incision) constantly and is very uncomfortable. Nasal rinse and guaifenesin won't work. Is this normal process of healing? Thank You!",0
332,"I had a scar band removed from one side of nose. Doctor put in 2 splints sewing them in to both sides of my nose and told my family that they would be removed in 4 to 6 weeks. Why so long, it seems crazy to leave them in so long.",0
335,I had a septoplasty and a turbinate reduction done about a year and nine months ago.,0
345,I had a septoplasty and turbinate reduction surgery one week ago Thursday. He placed dissolvable packing and splints. I am scheduled to have my splints removed in the morning. My question is I sneezed for the first time tonight and feel like the splints have slid down and are about to fall out. Are they okay to wait until morning?,0
357,It has been 4 weeks since I had sinus surgery and a septoplasty. I have been doing nasal rinses with neilmed 4 times a day and am still on flixonase nasule drops. In the past few days I have been getting bad headaches behind eyes and pain when bending over along with yellow discharge down back of my throat. I dont think its infected as have no other symptoms such as bad smell or fever. Is this normal? Is it likely to be infection? Should I still be getting sinus headaches now? Thanks,0
363,"Hello! I recently got a septoplasty with turbinate reduction, and am currently one week post-op. My doctor has told me that the plastic splints will be removed three weeks post-op. I am just curious as to how common of a practice this is? From what I can find, one week is the most typical, and I can't find any information on leaving them in longer. My physician has said that this is how they always perform the procedure. I had packing which was removed two days post-op. Thank you!",0
